chip_stem,reason,ic_frac,otsu_thresh
fisser_0009,ic_block_filter,0.4990,0.4305
fisser_0029,ic_block_filter,0.6072,0.3691
fisser_0045,ic_block_filter,0.8072,0.4316
fisser_0059,ic_block_filter,0.3420,0.3418
fisser_0066,ic_block_filter,0.7687,0.3379
fisser_0068,otsu_floor,,0.0004
fisser_0075,otsu_floor,,0.0015
fisser_0088,otsu_floor,,0.0017
fisser_0097,ic_block_filter,0.2378,0.3236
fisser_0099,ic_block_filter,0.7638,0.4408
fisser_0122,ic_block_filter,0.7094,0.1323
fisser_0143,ic_block_filter,0.7898,0.1245
fisser_0144,otsu_floor,,0.0015
fisser_0164,ic_block_filter,0.6381,0.6823
fisser_0169,ic_block_filter,0.2782,0.3182
fisser_0175,ic_block_filter,0.3200,0.2697
fisser_0190,ic_block_filter,0.4607,0.4004
fisser_0192,ic_block_filter,0.1775,0.3779
fisser_0198,ic_block_filter,0.5772,0.1582
fisser_0228,ic_block_filter,0.9075,0.2959
fisser_0246,ic_block_filter,0.9872,0.3223
fisser_0249,ic_block_filter,0.1512,0.2490
fisser_0251,ic_block_filter,0.8324,0.3206
fisser_0256,otsu_floor,,0.0009
fisser_0259,ic_block_filter,0.9279,0.6199
fisser_0270,ic_block_filter,0.2084,0.2948
fisser_0296,ic_block_filter,0.2380,0.2386
fisser_0314,ic_block_filter,0.6105,0.4276
fisser_0320,ic_block_filter,0.8433,0.5020
fisser_0329,ic_block_filter,0.5889,0.2871
fisser_0330,ic_block_filter,0.1834,0.3211
fisser_0333,ic_block_filter,0.3156,0.3407
fisser_0345,ic_block_filter,0.4205,0.3558
fisser_0362,ic_block_filter,0.7986,0.5864
fisser_0365,ic_block_filter,0.3015,0.4077
fisser_0372,ic_block_filter,0.7391,0.2421
fisser_0373,ic_block_filter,0.6459,0.3457
fisser_0378,ic_block_filter,0.4375,0.4646
fisser_0384,ic_block_filter,0.8167,0.3058
