chip_stem,reason,ic_frac
fisser_0002,ic_block_filter,0.5188
fisser_0009,ic_block_filter,0.8133
fisser_0029,ic_block_filter,0.6082
fisser_0034,ic_block_filter,0.3722
fisser_0045,ic_block_filter,0.9198
fisser_0059,ic_block_filter,0.5141
fisser_0066,ic_block_filter,0.8192
fisser_0075,ic_block_filter,0.8545
fisser_0097,ic_block_filter,0.6207
fisser_0099,ic_block_filter,0.9895
fisser_0122,ic_block_filter,0.3605
fisser_0143,ic_block_filter,0.4018
fisser_0144,ic_block_filter,0.4728
fisser_0164,ic_block_filter,0.9998
fisser_0169,ic_block_filter,0.4604
fisser_0175,ic_block_filter,0.4992
fisser_0190,ic_block_filter,0.8226
fisser_0192,ic_block_filter,0.1966
fisser_0198,ic_block_filter,0.3992
fisser_0209,ic_block_filter,0.4671
fisser_0228,ic_block_filter,0.9098
fisser_0246,ic_block_filter,0.9883
fisser_0249,ic_block_filter,0.2063
fisser_0251,ic_block_filter,0.8615
fisser_0259,ic_block_filter,1.0000
fisser_0270,ic_block_filter,0.2282
fisser_0296,ic_block_filter,0.3439
fisser_0314,ic_block_filter,0.9348
fisser_0320,ic_block_filter,0.9816
fisser_0329,ic_block_filter,0.5899
fisser_0330,ic_block_filter,0.2202
fisser_0333,ic_block_filter,0.3806
fisser_0345,ic_block_filter,0.5242
fisser_0349,ic_block_filter,0.1550
fisser_0352,ic_block_filter,0.2218
fisser_0362,ic_block_filter,0.9979
fisser_0365,ic_block_filter,0.3350
fisser_0372,ic_block_filter,0.7453
fisser_0373,ic_block_filter,0.6501
fisser_0378,ic_block_filter,0.9815
fisser_0384,ic_block_filter,0.8973
